T,TND,N,cohs,S,K,A,i,thresh
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",2,2,2,20,nan
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",2,2,2,21,nan
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",2,2,2,22,nan
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",2,2,2,23,nan
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",2,2,2,24,nan
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",2,2,2,25,nan
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",2,2,2,26,nan
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",2,2,2,27,nan
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",2,2,2,28,nan
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",2,2,2,29,nan
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",2,2,2,30,nan
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",2,2,2,31,nan
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",2,2,2,32,nan
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",2,2,2,33,nan
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",2,2,2,34,nan
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",2,2,2,35,nan
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",2,2,2,36,nan
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",2,2,2,37,nan
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",2,2,2,38,nan
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",2,2,2,39,nan
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",2,2,2,40,nan
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",2,2,2,41,nan
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",2,2,2,42,nan
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",2,2,2,43,nan
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",2,2,2,44,nan
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",2,2,2,45,nan
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",2,2,2,46,nan
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",2,2,2,47,nan
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",2,2,2,48,nan
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",2,2,2,49,nan
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",2,2,2,50,nan
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,2,2,0,1.0290978076396946
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,2,2,1,1.3503248981791678
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,2,2,2,1.2113913441960336
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,2,2,3,0.57638831498679632
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,2,2,4,0.3784298825606941
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,2,2,5,0.29793539853637435
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,2,2,6,0.25594693538310354
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,2,2,7,0.24904759371973995
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,2,2,8,0.22823299053478435
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,2,2,9,0.20781740504259788
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,2,2,10,0.19645108302925021
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,2,2,11,0.19422793322286791
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,2,2,12,0.19129460111561475
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,2,2,13,0.18824063560136922
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,2,2,14,0.18337039793046803
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,2,2,15,0.18327516461601212
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,2,2,16,0.18219439796124834
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,2,2,17,0.17955418777165083
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,2,2,18,0.17820483039594701
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,2,2,19,0.17797571796011677
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,2,2,20,0.17861570336088445
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,2,2,21,0.17847671517399225
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,2,2,22,0.17609725055415873
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,2,2,23,0.17609725055415873
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,2,2,24,0.17676636670945625
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,2,2,25,0.17676636670945625
50,2,500,"[0.06, 0.12, 0.25, 0.5, 1.0]",1,2,2,26,0.1759397137691163
